,match_id,inning,bowling_team,avg_over,ball,batsman,non_striker,bowler,is_super_over,wide_runs,bye_runs,legbye_runs,noball_runs,penalty_runs,batsman_runs,extra_runs,total_runs,player_dismissed,dismissal_kind,fielder,over-binned,Chennai Super Kings,Deccan Chargers,Delhi Capitals,Delhi Daredevils,Gujarat Lions,Kings XI Punjab,Kochi Tuskers Kerala,Kolkata Knight Riders,Mumbai Indians,Pune Warriors,Rajasthan Royals,Rising Pune Supergiant,Rising Pune Supergiants,Royal Challengers Bangalore,Sunrisers Hyderabad
11,1,1,Royal Challengers Bangalore,0.47368421052631576,5,DA Warner,S Dhawan,A Choudhary,0,0,0,0,0,0,0,0,0,DA Warner,caught,Mandeep Singh,medium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,1,1,Royal Challengers Bangalore,0.0,3,S Dhawan,MC Henriques,STR Binny,0,0,0,0,0,0,0,0,0,S Dhawan,caught,Sachin Baby,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,1,1,Royal Challengers Bangalore,0.0,2,MC Henriques,Yuvraj Singh,YS Chahal,0,0,0,0,0,0,0,0,0,MC Henriques,caught,Sachin Baby,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,1,2,Sunrisers Hyderabad,0.05263157894736842,3,CH Gayle,TM Head,DJ Hooda,0,0,0,0,0,0,0,0,0,CH Gayle,caught,DA Warner,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
199,1,2,Sunrisers Hyderabad,0.0,4,KM Jadhav,TM Head,MC Henriques,0,0,0,0,0,0,1,0,1,KM Jadhav,run out,BCJ Cutting,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
206,1,2,Sunrisers Hyderabad,0.0,5,TM Head,SR Watson,Rashid Khan,0,0,0,0,0,0,0,0,0,TM Head,caught,Yuvraj Singh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,1,2,Sunrisers Hyderabad,0.0,4,Sachin Baby,SR Watson,Bipul Sharma,0,0,0,0,0,0,0,0,0,Sachin Baby,caught,MC Henriques,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
230,1,2,Sunrisers Hyderabad,0.0,5,STR Binny,SR Watson,B Kumar,0,0,0,0,0,0,0,0,0,STR Binny,caught,Yuvraj Singh,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,1,2,Sunrisers Hyderabad,0.0,3,SR Watson,S Aravind,A Nehra,0,0,0,0,0,0,0,0,0,SR Watson,caught,MC Henriques,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
242,1,2,Sunrisers Hyderabad,0.0,5,TS Mills,YS Chahal,B Kumar,0,0,0,0,0,0,0,0,0,TS Mills,caught,DA Warner,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
247,1,2,Sunrisers Hyderabad,0.0,4,A Choudhary,YS Chahal,BCJ Cutting,0,0,0,0,0,0,0,0,0,YS Chahal,run out,CJ Jordan (sub),low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
330,2,1,Rising Pune Supergiant,0.0,2,KH Pandya,N Rana,R Bhatia,0,0,0,0,0,0,0,0,0,KH Pandya,caught,MS Dhoni,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
343,2,1,Rising Pune Supergiant,0.0,3,N Rana,KA Pollard,A Zampa,0,0,0,0,0,0,0,0,0,N Rana,caught,R Bhatia,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
361,2,1,Rising Pune Supergiant,0.0,2,KA Pollard,HH Pandya,BA Stokes,0,0,0,0,0,0,0,0,0,KA Pollard,caught,MA Agarwal,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
371,2,1,Rising Pune Supergiant,0.0,6,HH Pandya,TG Southee,AB Dinda,0,1,0,0,0,0,0,1,1,TG Southee,run out,MS Dhoni,low,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
392,2,2,Mumbai Indians,0.21052631578947367,1,MA Agarwal,AM Rahane,MJ McClenaghan,0,0,0,0,0,0,0,0,0,MA Agarwal,caught,RG Sharma,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
434,2,2,Mumbai Indians,0.0,1,AM Rahane,SPD Smith,TG Southee,0,0,0,0,0,0,0,0,0,AM Rahane,caught,N Rana,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
467,2,2,Mumbai Indians,0.0,2,BA Stokes,SPD Smith,HH Pandya,0,0,0,0,0,0,0,0,0,BA Stokes,caught,TG Southee,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
514,3,1,Kolkata Knight Riders,0.21052631578947367,1,JJ Roy,BB McCullum,PP Chawla,0,0,0,0,0,0,0,0,0,JJ Roy,caught,YK Pathan,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
557,3,1,Kolkata Knight Riders,0.0,2,AJ Finch,SK Raina,Kuldeep Yadav,0,0,0,0,0,0,0,0,0,AJ Finch,caught,Kuldeep Yadav,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
615,3,1,Kolkata Knight Riders,0.0,5,KD Karthik,SK Raina,TA Boult,0,0,0,0,0,0,0,0,0,KD Karthik,caught,Kuldeep Yadav,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
750,4,1,Kings XI Punjab,0.05263157894736842,2,AM Rahane,SPD Smith,T Natarajan,0,0,0,0,0,0,0,0,0,AM Rahane,caught,MP Stoinis,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
762,4,1,Kings XI Punjab,0.05263157894736842,2,SPD Smith,BA Stokes,MP Stoinis,0,0,0,0,0,0,0,0,0,SPD Smith,caught,M Vohra,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
836,4,1,Kings XI Punjab,0.0,5,DT Christian,MK Tiwary,Sandeep Sharma,0,0,0,0,0,0,0,0,0,DT Christian,caught,GJ Maxwell,low,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
856,4,2,Rising Pune Supergiant,0.2631578947368421,5,M Vohra,HM Amla,AB Dinda,0,0,0,0,0,0,0,0,0,M Vohra,caught,MK Tiwary,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
905,4,2,Rising Pune Supergiant,0.0,6,HM Amla,AR Patel,RD Chahar,0,0,0,0,0,0,0,0,0,HM Amla,caught,BA Stokes,low,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
980,5,1,Delhi Daredevils,0.21052631578947367,2,CH Gayle,SR Watson,CH Morris,0,0,0,0,0,0,0,0,0,CH Gayle,caught,SV Samson,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1013,5,1,Delhi Daredevils,0.05263157894736842,4,SR Watson,KM Jadhav,S Nadeem,0,0,0,0,0,0,0,0,0,SR Watson,stumped,RR Pant,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1053,5,1,Delhi Daredevils,0.0,7,STR Binny,KM Jadhav,Z Khan,0,0,0,0,0,0,0,0,0,STR Binny,caught,SW Billings,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1063,5,1,Delhi Daredevils,0.0,4,Vishnu Vinod,KM Jadhav,Z Khan,0,0,0,0,0,0,0,0,0,Vishnu Vinod,run out,S Nadeem,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1065,5,1,Delhi Daredevils,0.0,6,KM Jadhav,P Negi,Z Khan,0,0,0,0,0,0,0,0,0,KM Jadhav,caught,CH Morris,low,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1129,5,2,Royal Challengers Bangalore,0.05263157894736842,3,SW Billings,SV Samson,Iqbal Abdulla,0,0,0,0,0,0,0,0,0,SW Billings,caught,B Stanlake,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1151,5,2,Royal Challengers Bangalore,0.0,5,SV Samson,RR Pant,B Stanlake,0,0,0,0,0,0,0,0,0,SV Samson,caught,STR Binny,low,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1239,6,1,Sunrisers Hyderabad,0.10526315789473684,2,JJ Roy,SK Raina,B Kumar,0,0,0,0,0,0,0,0,0,JJ Roy,caught,S Dhawan,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1307,6,1,Sunrisers Hyderabad,0.0,4,DR Smith,KD Karthik,B Kumar,0,0,0,0,0,0,0,0,0,DR Smith,caught,V Shankar (sub),low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1311,6,1,Sunrisers Hyderabad,0.0,2,KD Karthik,DS Kulkarni,A Nehra,0,0,0,0,0,0,0,0,0,KD Karthik,caught,NV Ojha,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1313,6,1,Sunrisers Hyderabad,0.0,4,DS Kulkarni,P Kumar,A Nehra,0,0,0,0,0,0,0,0,0,DS Kulkarni,run out,Rashid Khan,low,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1346,6,2,Gujarat Lions,0.21052631578947367,1,S Dhawan,DA Warner,P Kumar,0,0,0,0,0,0,0,0,0,S Dhawan,caught,BB McCullum,low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1453,7,1,Mumbai Indians,0.15789473684210525,2,G Gambhir,CA Lynn,KH Pandya,0,0,0,0,0,0,0,0,0,G Gambhir,caught,MJ McClenaghan,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1456,7,1,Mumbai Indians,0.15789473684210525,5,RV Uthappa,CA Lynn,KH Pandya,0,0,0,0,0,0,0,0,0,RV Uthappa,caught,HH Pandya,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1499,7,1,Mumbai Indians,0.0,4,YK Pathan,MK Pandey,KH Pandya,0,0,0,0,0,0,0,0,0,YK Pathan,caught,HH Pandya,low,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
